Package name,Severity,Affected version,Discloded date,Published date,FirstAffectedRelease_Date,FirstFixedRelease_Date,Disclosed VS First Affected,Published VS Disclosed
djblets,M,"[0.8,0.8.2],[,0.7.30]",6/6/2014,6/6/2014,5/20/2014,8/20/2014,1,0
docker-py,M,"[,0.5.3],[,1.3.1]",10/30/2014,10/30/2014,6/21/2013,8/11/2011,16,0
dulwich,H,"[,0.18.5]",10/28/2017,3/11/2017,11/12/2008,11/11/2017,108,0
dulwich,H,"[,0.9.8]",3/22/2015,3/22/2015,11/12/2008,3/22/2015,76,0
dulwich,H,"[,0.9.9]",1/16/2015,1/16/2015,11/12/2008,3/22/2015,74,0
fabric,M,"[,1.1.0]",6/6/2011,6/6/2011,12/1/2008,6/30/2011,30,0
fabric,L,"[0.9.0,1.13.1]",11/6/2015,11/6/2015,9/11/2009,4/24/2017,74,0
facebook-sdk,H,"[0.3.0,0.3.2)",7/17/2012,7/17/2012,4/25/2012,7/28/2012,3,0
feedparser,M,"[,5.0.1]",11/4/2011,11/4/2011,6/15/2007,3/12/2011,53,0
feedparser,M,"[,5.0.1]",11/4/2011,11/4/2011,6/15/2007,3/12/2011,53,0
feedparser,M,"[,5.0.1]",11/4/2011,11/4/2011,6/15/2007,3/12/2011,53,0
feedparser,M,"[,5.1.2]",5/21/2012,5/21/2012,6/15/2007,9/12/2012,59,0
five.pt,M,"[0.1,2.2.4)",4/19/2016,4/19/2016,4/20/2010,4/19/2016,72,0
flask-admin,M,"[,1.3.0)",8/20/2015,8/20/2015,11/7/2011,8/23/2015,45,0
flask-oidc,M,"[,0.1.2]",10/20/2016,10/20/2016,7/31/2014,8/2/2017,27,0
flower,M,"[,0.9.1]",12/12/2016,12/12/2016,9/7/2012,6/18/2017,51,0
foolscap,M,"[,0.7.0)",9/21/2014,9/21/2014,8/8/2007,9/24/2014,85,0
formencode,M,"[,1.0.1)",5/11/2017,4/12/2017,8/15/2005,3/27/2008,141,0
graphite-web,M,"[,0.9.11)",7/8/2013,7/8/2013,7/1/2010,8/20/2013,36,0
graphite-web,M,"[0.9.5,0.9.11)",7/8/2013,7/8/2013,7/1/2010,8/20/2013,36,0
