Package name,Severity,Affected version,Discloded date,Published date,FirstAffectedRelease_Date,FirstFixedRelease_Date,Disclosed VS First Affected,Published VS Disclosed
tracauthopenid,M,"[,0.4.4)",6/23/2013,10/25/2017,6/23/2013,6/23/2013,0,52
yubiauth,M,"[,0.2.3)",7/5/2013,10/25/2017,4/16/2013,7/5/2013,3,52
pmr2.oauth,M,"[,0.4.2)",1/31/2013,7/11/2017,10/20/2011,1/31/2013,15,53
pyopenssl,L,"[,0.13.1)",6/9/2013,1/22/2018,4/6/2008,4/9/2013,62,55
pip,M,"[,1.3)",4/1/2012,1/8/2017,10/28/2008,7/3/2013,41,57
pycrypto,M,"[,2.6)",4/19/2012,1/8/2017,11/11/2002,5/24/2012,113,57
easywidgets,M,"[,0.2dev-20150922)",1/15/2013,11/29/2017,2/3/2010,9/22/2015,35,58
vumi,H,"[,0.3.1)",9/1/2012,11/28/2017,12/3/2012,12/3/2012,0,63
django-crispy-forms,M,"[,1.1.4)",5/23/2012,9/14/2017,2/11/2011,5/24/2012,15,64
django-envelope,M,"[,0.4.1)",3/1/2012,9/14/2017,9/16/2010,3/1/2012,17,66
django-guts,M,"[,0.1.1)",12/3/2011,7/11/2017,12/3/2011,12/3/2011,0,67
werkzeug,M,"[,0.8)",9/25/2011,4/12/2017,9/12/2007,9/29/2011,48,67
yaybu,M,"[,0.1.14)",12/30/2011,9/14/2017,5/4/2011,1/1/2012,8,68
httpauth,M,"[,0.2)",1/8/2012,10/30/2017,10/7/2012,1/8/2012,0,70
oodt,M,"[,0.4)",12/13/2011,10/15/2017,11/11/2008,6/20/2012,37,70
passlib,M,"[,1.4)",3/30/2011,4/12/2017,3/25/2011,4/5/2011,0,72
products_portaltransforms,L,"[1.6.1,2.0.7)",6/6/2011,7/11/2017,9/30/2008,4/7/2011,32,73
plumi.app,H,"[,4.2.2)",6/22/2011,9/14/2017,7/24/2009,2/7/2011,23,75
pretaweb.healthcheck,M,"[,1.0)",6/24/2011,10/30/2017,6/24/2011,6/24/2011,0,76
tiddlyweb,H,"[,1.2.18)",2/22/2011,7/11/2017,7/5/2009,2/22/2011,20,77
paste,M,"[,1.7.4)",6/15/2010,4/12/2017,3/10/2005,6/24/2010,63,82
python-cjson,M,"[,1.0.5]",2/7/2010,4/12/2017,12/19/2006,8/24/2007,38,86
pywebsite,M,"[,0.1.14pre)",4/1/2010,9/14/2017,9/12/2009,4/1/2010,7,89
pygresql,H,"[,4.0)",10/14/2009,7/11/2017,5/6/2006,6/30/2009,41,93
django-haystack,M,"[,1.1)",3/24/2009,4/12/2017,11/30/2009,11/23/2010,0,97
cssutils,M,"[,0.9.6a2)",2/16/2009,4/12/2017,4/8/2007,8/3/2009,22,98
zope.html,H,"[,1.2)",6/7/2009,10/30/2017,10/29/2007,6/7/2009,19,101
beaker,M,"[,0.9.4)",3/4/2008,4/12/2017,3/13/2006,4/13/2008,24,109
paste,M,"[,1.1)",12/18/2006,4/12/2017,3/10/2005,12/18/2006,21,124
